username,repo_name,stars,repo_url
localstack,localstack,43500,https://github.com//localstack/localstack
serverless,serverless,43400,https://github.com//serverless/serverless
bregman-arie,devops-exercises,29400,https://github.com//bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,23600,https://github.com//donnemartin/data-science-ipython-notebooks
pulumi,pulumi,13600,https://github.com//pulumi/pulumi
ramitsurana,awesome-kubernetes,13100,https://github.com//ramitsurana/awesome-kubernetes
aws,aws-cli,12900,https://github.com//aws/aws-cli
kubernetes-sigs,kubespray,12800,https://github.com//kubernetes-sigs/kubespray
donnemartin,awesome-aws,10700,https://github.com//donnemartin/awesome-aws
mozilla,sops,10700,https://github.com//mozilla/sops
apereo,cas,9700,https://github.com//apereo/cas
caprover,caprover,9200,https://github.com//caprover/caprover
aws,chalice,9200,https://github.com//aws/chalice
aws,aws-cdk,9200,https://github.com//aws/aws-cdk
aws-amplify,amplify-js,8900,https://github.com//aws-amplify/amplify-js
aws,serverless-application-model,8700,https://github.com//aws/serverless-application-model
angristan,openvpn-install,8600,https://github.com//angristan/openvpn-install
apex,up,8600,https://github.com//apex/up
serverless-stack,sst,8600,https://github.com//serverless-stack/sst
GoogleCloudPlatform,terraformer,8600,https://github.com//GoogleCloudPlatform/terraformer
