username,repo_name,stars,repo_url
flutter,flutter,145000,https://github.com//flutter/flutter
justjavac,free-programming-books-zh_CN,95600,https://github.com//justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,70300,https://github.com//Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,55800,https://github.com//Hack-with-Github/Awesome-Hacking
google,material-design-icons,46500,https://github.com//google/material-design-icons
wasabeef,awesome-android-ui,43900,https://github.com//wasabeef/awesome-android-ui
square,okhttp,42800,https://github.com//square/okhttp
Solido,awesome-flutter,42700,https://github.com//Solido/awesome-flutter
android,architecture-samples,41500,https://github.com//android/architecture-samples
square,retrofit,40500,https://github.com//square/retrofit
dcloudio,uni-app,37100,https://github.com//dcloudio/uni-app
fastlane,fastlane,35800,https://github.com//fastlane/fastlane
PhilJay,MPAndroidChart,35600,https://github.com//PhilJay/MPAndroidChart
airbnb,lottie-android,33200,https://github.com//airbnb/lottie-android
bumptech,glide,33000,https://github.com//bumptech/glide
shadowsocks,shadowsocks-android,32900,https://github.com//shadowsocks/shadowsocks-android
laurent22,joplin,32000,https://github.com//laurent22/joplin
skylot,jadx,31600,https://github.com//skylot/jadx
Blankj,AndroidUtilCode,31300,https://github.com//Blankj/AndroidUtilCode
xitu,gold-miner,31300,https://github.com//xitu/gold-miner
