username,repo_name,stars,repo_url
ansible,ansible,54500,https://github.com//ansible/ansible
bregman-arie,devops-exercises,29400,https://github.com//bregman-arie/devops-exercises
trailofbits,algo,26100,https://github.com//trailofbits/algo
StreisandEffect,streisand,22900,https://github.com//StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,17200,https://github.com//MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12800,https://github.com//kubernetes-sigs/kubespray
ansible,awx,11400,https://github.com//ansible/awx
easzlab,kubeasz,8500,https://github.com//easzlab/kubeasz
geerlingguy,ansible-for-devops,6200,https://github.com//geerlingguy/ansible-for-devops
khuedoan,homelab,6100,https://github.com//khuedoan/homelab
Tikam02,DevOps-Guide,5200,https://github.com//Tikam02/DevOps-Guide
ansible-semaphore,semaphore,5200,https://github.com//ansible-semaphore/semaphore
geerlingguy,mac-dev-playbook,4800,https://github.com//geerlingguy/mac-dev-playbook
rundeck,rundeck,4700,https://github.com//rundeck/rundeck
KubeOperator,KubeOperator,4400,https://github.com//KubeOperator/KubeOperator
clong,DetectionLab,3800,https://github.com//clong/DetectionLab
netbootxyz,netboot.xyz,3600,https://github.com//netbootxyz/netboot.xyz
ansible-community,molecule,3400,https://github.com//ansible-community/molecule
opendevops-cn,opendevops,3300,https://github.com//opendevops-cn/opendevops
litmuschaos,litmus,3300,https://github.com//litmuschaos/litmus
