username,repo_name,stars,repo_url
sindresorhus,awesome,219000,https://github.com//sindresorhus/awesome
vinta,awesome-python,141000,https://github.com//vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,103000,https://github.com//awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,87600,https://github.com//avelino/awesome-go
trimstray,the-book-of-secret-knowledge,77300,https://github.com//trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,64300,https://github.com//papers-we-love/papers-we-love
521xueweihan,HelloGitHub,59200,https://github.com//521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,55800,https://github.com//Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,53000,https://github.com//jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,49500,https://github.com//DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,46700,https://github.com//sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,43900,https://github.com//wasabeef/awesome-android-ui
MunGell,awesome-for-beginners,43500,https://github.com//MunGell/awesome-for-beginners
Solido,awesome-flutter,42700,https://github.com//Solido/awesome-flutter
prakhar1989,awesome-courses,42600,https://github.com//prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,40600,https://github.com//binhnguyennus/awesome-scalability
vsouza,awesome-ios,40500,https://github.com//vsouza/awesome-ios
fffaraz,awesome-cpp,40100,https://github.com//fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,36800,https://github.com//tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,35100,https://github.com//dypsilon/frontend-dev-bookmarks
