username,repo_name,stars,repo_url
bregman-arie,devops-exercises,29400,https://github.com//bregman-arie/devops-exercises
microsoft,recommenders,14000,https://github.com//microsoft/recommenders
pulumi,pulumi,13600,https://github.com//pulumi/pulumi
ramitsurana,awesome-kubernetes,13100,https://github.com//ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,12100,https://github.com//Azure/azure-quickstart-templates
mozilla,sops,10700,https://github.com//mozilla/sops
caprover,caprover,9200,https://github.com//caprover/caprover
microsoft,computervision-recipes,8600,https://github.com//microsoft/computervision-recipes
google,go-cloud,8600,https://github.com//google/go-cloud
infracost,infracost,7900,https://github.com//infracost/infracost
microsoft,azuredatastudio,6900,https://github.com//microsoft/azuredatastudio
node-formidable,formidable,6300,https://github.com//node-formidable/formidable
midwayjs,midway,6000,https://github.com//midwayjs/midway
thangchung,clean-code-dotnet,5400,https://github.com//thangchung/clean-code-dotnet
aquasecurity,tfsec,5000,https://github.com//aquasecurity/tfsec
budtmo,docker-android,4900,https://github.com//budtmo/docker-android
bridgecrewio,checkov,4600,https://github.com//bridgecrewio/checkov
nccgroup,ScoutSuite,4600,https://github.com//nccgroup/ScoutSuite
cloud-custodian,cloud-custodian,4300,https://github.com//cloud-custodian/cloud-custodian
Azure,azure-sdk-for-net,3900,https://github.com//Azure/azure-sdk-for-net
