username,repo_name,stars,repo_url
Genymobile,scrcpy,70300,https://github.com//Genymobile/scrcpy
neovim,neovim,57600,https://github.com//neovim/neovim
git,git,43500,https://github.com//git/git
obsproject,obs-studio,41500,https://github.com//obsproject/obs-studio
fffaraz,awesome-cpp,40100,https://github.com//fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,32100,https://github.com//serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,31700,https://github.com//FFmpeg/FFmpeg
vim,vim,28400,https://github.com//vim/vim
curl,curl,26600,https://github.com//curl/curl
huihut,interview,25800,https://github.com//huihut/interview
ggreer,the_silver_searcher,24100,https://github.com//ggreer/the_silver_searcher
pbatard,rufus,20000,https://github.com//pbatard/rufus
mpv-player,mpv,20000,https://github.com//mpv-player/mpv
ruby,ruby,19500,https://github.com//ruby/ruby
ossrs,srs,19100,https://github.com//ossrs/srs
google,flatbuffers,18700,https://github.com//google/flatbuffers
oracle,graal,17500,https://github.com//oracle/graal
radareorg,radare2,16800,https://github.com//radareorg/radare2
microsoft,vcpkg,16700,https://github.com//microsoft/vcpkg
kovidgoyal,kitty,16000,https://github.com//kovidgoyal/kitty
