username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,28900,https://github.com//iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,19700,https://github.com//jaywcjlove/linux-command
refined-github,refined-github,18800,https://github.com//refined-github/refined-github
darkreader,darkreader,14900,https://github.com//darkreader/darkreader
checkly,headless-recorder,14400,https://github.com//checkly/headless-recorder
unbug,codelf,13100,https://github.com//unbug/codelf
Anarios,return-youtube-dislike,10000,https://github.com//Anarios/return-youtube-dislike
crimx,ext-saladict,9600,https://github.com//crimx/ext-saladict
gildas-lormeau,SingleFile,9100,https://github.com//gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8900,https://github.com//listen1/listen1_chrome_extension
dailydotdev,daily,8400,https://github.com//dailydotdev/daily
appbaseio,dejavu,7900,https://github.com//appbaseio/dejavu
alyssaxuu,screenity,7600,https://github.com//alyssaxuu/screenity
Kenshin,simpread,6300,https://github.com//Kenshin/simpread
ajayyy,SponsorBlock,5500,https://github.com//ajayyy/SponsorBlock
alyssaxuu,omni,5500,https://github.com//alyssaxuu/omni
AutomaApp,automa,5400,https://github.com//AutomaApp/automa
dessant,buster,5200,https://github.com//dessant/buster
manojVivek,medium-unlimited,5000,https://github.com//manojVivek/medium-unlimited
webclipper,web-clipper,4500,https://github.com//webclipper/web-clipper
