username,repo_name,stars,repo_url
ovity,octotree,22200,https://github.com//ovity/octotree
gitpod-io,gitpod,9000,https://github.com//gitpod-io/gitpod
reviewdog,reviewdog,5500,https://github.com//reviewdog/reviewdog
danger,danger,4900,https://github.com//danger/danger
danger,danger-js,4600,https://github.com//danger/danger-js
joho,awesome-code-review,3600,https://github.com//joho/awesome-code-review
ajinabraham,nodejsscan,2000,https://github.com//ajinabraham/nodejsscan
houndci,hound,1900,https://github.com//houndci/hound
microsoft,vscode-pull-request-github,1900,https://github.com//microsoft/vscode-pull-request-github
mbj,mutant,1900,https://github.com//mbj/mutant
crev-dev,cargo-crev,1700,https://github.com//crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com//reviewboard/reviewboard
Tencent,CodeAnalysis,1300,https://github.com//Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,1200,https://github.com//ryanmcdermott/code-review-tips
bit4woo,python_sec,1100,https://github.com//bit4woo/python_sec
code-review-checklists,java-concurrency,1100,https://github.com//code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,849,https://github.com//jiangsir404/Audit-Learning
TeamCodeStream,codestream,824,https://github.com//TeamCodeStream/codestream
enlightn,enlightn,690,https://github.com//enlightn/enlightn
palantir,policy-bot,519,https://github.com//palantir/policy-bot
