username,repo_name,stars,repo_url
vercel,next.js,92500,https://github.com//vercel/next.js
rust-lang,rust,71700,https://github.com//rust-lang/rust
sveltejs,svelte,62100,https://github.com//sveltejs/svelte
webpack,webpack,61800,https://github.com//webpack/webpack
gatsbyjs,gatsby,53500,https://github.com//gatsbyjs/gatsby
JetBrains,kotlin,42600,https://github.com//JetBrains/kotlin
babel,babel,41400,https://github.com//babel/babel
parcel-bundler,parcel,41300,https://github.com//parcel-bundler/parcel
evanw,esbuild,33200,https://github.com//evanw/esbuild
vlang,v,30500,https://github.com//vlang/v
markedjs,marked,28300,https://github.com//markedjs/marked
carbon-language,carbon-lang,27300,https://github.com//carbon-language/carbon-lang
swc-project,swc,23800,https://github.com//swc-project/swc
vercel,pkg,21900,https://github.com//vercel/pkg
v8,v8,20100,https://github.com//v8/v8
ziglang,zig,17600,https://github.com//ziglang/zig
AssemblyScript,assemblyscript,14500,https://github.com//AssemblyScript/assemblyscript
nim-lang,Nim,13600,https://github.com//nim-lang/Nim
Konloch,bytecode-viewer,13200,https://github.com//Konloch/bytecode-viewer
RustPython,RustPython,12100,https://github.com//RustPython/RustPython
